10.07.2015;J.S. Bach;Choräle aus der Matthäus-Passion
10.07.2015;R. Schumann;Der Sänger & Sommerlied
10.07.2015;U. Führe;Er und Sie
10.07.2015;W.A. Mozart;Oh, du eselhafter Peierl
07.02.2015;M. Ravel;Pavane pour une infante défunte
07.02.2015;M. Tippett;Oratorium A Child Of Our Time
07.02.2015;P. Dukas;Fanfare aus La Péri
07.02.2015;S. Barber;Adagio for Strings
11.07.2014;E. Elgar;Cellokonzert e-Moll op. 85
11.07.2014;J. Brahms;Variationen über ein Thema von Haydn op. 56a
11.07.2014;J. Sibelius;1. Sinfonie op. 39
09.07.2014;F. Mendelssohn-Bartholdy;Abschied vom Walde
09.07.2014;J. Brahms;Abendlied
09.07.2014;M. Tippett;five spirituals aus dem Oratorium "A child of our time"
09.07.2014;R. Schumann;Zigeunerleben
01.02.2014;A. Bruckner;Te Deum C-Dur WAB 45
01.02.2014;F. Mendelssohn-Bartholdy;Ouvertüre für Harmoniemusik C-Dur op. 24
01.02.2014;H. Andriessen;L'histoire de l'Enfant de Dieu (dt. Erstaufführung)
01.02.2014;J.S. Bach;Konzert für zwei Violinen, Streicher und Continuo d-Moll BWV 1043
07.07.2013;C.M.v. Weber;Ouvertüre zu "Der Freischütz"
07.07.2013;F. Chopin;2. Klavierkonzert in f-Moll op. 21
07.07.2013;J. Brahms;1. Sinfonie in c-Moll op. 68
29.06.2013;H.W. Zimmermann;Psalmkonzert
29.06.2013;J.J.v. Nuffel;Laetatus sum
29.06.2013;W.A. Mozart;Vesperae solennes de Confessore, KV 339
08.12.2012;A. Vivaldi;L'inverno aus "Die Vier Jahreszeiten"
08.12.2012;J. Haydn;Stücke aus dem Herbst und Winter aus "Die Jahreszeiten"
08.12.2012;P.I. Tschaikowsky;Sinfonie Nr.1 "Winterträume"
07.07.2012;J. Rodrigo;Concierto Andaluz
07.07.2012;L. Zeppelin;Kashmir
07.07.2012;R. Khoshaba;Samai Kurd
07.07.2012;W. Junker;Concertino für Alphorn
07.07.2012;Y. Abdokov;Herbstgebete
07.07.2012;Z. Kodály;Háry János-Suite
30.06.2012;F. Mendelssohn-Bartholdy;„Der erste Frühlingstag" op. 48
30.06.2012;R.V. Williams;Five English Folk Songs
17.05.2012;J. Rodrigo;Concierto Andaluz
17.05.2012;R. Koshaba;Samai Kurd
22.01.2012;C. Marshall;L´homme Armé
22.01.2012;E. Whitacre;Lux Aurumque
22.01.2012;E. Whitacre;Water Night
22.01.2012;G. Holst;St. Paul´s Suite
22.01.2012;K. Jenkins;The armed Man - A Mass for Peace
15.07.2011;B. Bartók;Four Slovak Folk Songs
15.07.2011;E. Elgar;From the Bavarian Highlands
08.07.2011;A. Mossolow;Die Eisengießerei aus dem Ballett "Stahl", op. 19
08.07.2011;G. Verdi;Ouvertüre zur Oper La forza del destino
08.07.2011;J. Barry;Robin Hood - König der Diebe
08.07.2011;J. Williams;Superman
08.07.2011;L. Schifrin;Mission: Impossible
08.07.2011;L.v. Beethoven;Allegretto (2. Satz) aus der 7. Sinfonie
08.07.2011;M. Kamen;Der mit dem Wolf tanzt
08.07.2011;W.A. Mozart;Klavierkonzert Nr. 21 in C-Dur, KV 467
29.01.2011;C. Franck;Variations symphoniques pour piano et orchestre
29.01.2011;G. Fauré;Cantique de Jean Racine
29.01.2011;G. Puccini;Messa di Gloria
29.01.2011;G. Puccini;Preludio sinfonico
29.01.2011;W. Walton;Crown Imperial
17.07.2010;A. Dvořák;Slawisher Tanz
17.07.2010;B. Britten;Simple Symphony
17.07.2010;D. Gillingham;Concertino for four Percussion and Wind Band
17.07.2010;N. Burgmüller;Sinfonie Nr. 2 D-Dur
03.07.2010;G. Rossini;Petite Messe Solennelle
13.05.2010;F. Schubert;Wohin soll ich mich wenden aus "Deutsche Messe"
13.05.2010;H. Purcell;Thou knowest, Lord, the secrets of our Heart
13.05.2010;H. Purcell;When I am faid in earth / With dropping wings aus "Dido and Aeneas"
13.05.2010;J. Brahms;In stiller Nacht
13.05.2010;J. Gallus;Ecce, quomodo moritur justus
13.05.2010;Trad./James E. Moore;Irish Blessing
23.01.2010;F. Mendelssohn-Bartholdy;Sinfonie Nr. 2 "Lobgesang"
23.01.2010;R. Vaughan-Williams;Serenade to Music
23.01.2010;Wal-Berg;Konzert für Trompete und Orchester
27.06.2009;B. Joël;And so it goes
27.06.2009;G. Gershwin;Fascinating Rhythm
27.06.2009;G. Gershwin;Nice work if you can get it
27.06.2009;King's Singers;I'm a train
27.06.2009;M. Lauridsen;Les Chansons de la Rose
27.06.2009;S. Joplin;Treemonisha
27.06.2009;Trad.;Shenendoah
20.06.2009;D. Schostakowitsch;Sinfonie Nr. 5
20.06.2009;M. Balakirew;Russia
20.06.2009;S. Rachmaninow;Klavierkonzert Nr. 2
12.12.2008;A. Honegger;Cantate de Noël
12.12.2008;A. Reed;A Russian Christmas Music
12.12.2008;Fr. Poulenc;Videntes Stellam aus "Quatre Motetes pour le temps de Noel"
12.12.2008;H. Berlioz;L'adieu des bergers aus "L'Enfance du Christ"
12.12.2008;J. Beckel;A Christman Fanfare
12.12.2008;P.I. Tschaikowsky;Streicherserenade
12.07.2008;B. Britten;A Russian Funeral
12.07.2008;Homilius;Selig sind die Toten
12.07.2008;P.Hindemith;Sinfonie "Mathis der Maler"
12.07.2008;W.A. Mozart;Requium KV 626
19.01.2008;Fr. Gulda;Konzert für Cello und Blasorchester
19.01.2008;J. de Mey;Simnofie Nr.1 "Lord of the Rings"
19.01.2008;J.B. Chance;Variations on a Korean Folk-Song
13.12.2007;Fr. Poulenc;O magnum Mysterium aus "Quatre Motets pour le temps de Noel"
13.12.2007;G. Telemann;Kantate zum 2. Advent TWV 1:301
13.12.2007;J. Rutter;Gloria
13.12.2007;M. Lauridsen;O magnum Mysterium
13.12.2007;T.L. da Vittoria;O magnum Mysterium
13.12.2007;Trad./Müller;Es ist ein Ros entsprungen
13.12.2007;Trad/Willcocks;Angelus ad Virginem
14.07.2007;J. Brahms;Altrhapsodie, Op. 53
14.07.2007;J. Brahms;Ave Maria, Op. 12
14.07.2007;J. Brahms;Liebesliederwaltzer, Op. 52/65
14.07.2007;J. Brahms;Schicksalslied op.54
14.07.2007;J. Brahms;Simfonie Nr.4 e-moll, Op. 98
14.07.2007;J. Brahms;Ungarnischer Tanz Nr.6
10.02.2007;A. Copland;Appalachian Spring
10.02.2007;A. Copland;Fanfare for the Common Man
10.02.2007;Ch. Ives;Variations on "America"
10.02.2007;G. Gershwin;Rhapsody in Blue
10.02.2007;J.P. Sousa;Stars and Stripes
10.02.2007;M. Gould;American Salute
08.12.2006;B. Britten;A Ceremony of Carols
08.12.2006;F. Poulenc;Quem vidistis Pastores
08.12.2006;L. Bernstein;Chichester Psalms
07.07.2006;F. Schubert;Ouvertüre zu "Die Zauberharfe"
07.07.2006;J.C. Bach;Sinfonia
07.07.2006;W.A. Mozart;Davide penitente (KV 469)
07.07.2006;W.A. Mozart;Ouvertüre aus der „Zauberflöte“
18.02.2006;G. Verdi;Messa da Requiem
28.01.2006;C. Monteverdi;Orfeo
28.01.2006;F. Mendelssohn-Bartholdy;Trompeten Ouvertüre
28.01.2006;F.A. Boieldieu;Der Kalif von Bagdad
28.01.2006;G. Verdi;I Vespri siciliani
28.01.2006;J.C. Arriaga;Los Esclavos Felices
28.01.2006;L.v. Beethoven;3. Leonoren-Ouvertüre
28.01.2006;P.I. Tschaikowsky;Ouvertüre "1812"
28.01.2006;W.A. Mozart;Don Giovanni
23.07.2005;A. Dvořák;Symphonie No. 7
23.07.2005;E. Grieg;Huldigungsmarsch aus "Sigurd Jorsalfar"
23.07.2005;E. Grieg;Peer Gynt Suite
23.07.2005;J. Sibelius;Finlandia
03.06.2005;J. Haydn;Arie "Nun beut die Flur das frische Grün" aus "Die Jahreszeiten"
03.06.2005;J. Haydn;Missa in honorem Sancti Johannis de Deo ("Kleine Orgelmesse" in B-Dur), Hob.XXII-7 (Urfassung)
03.06.2005;W.A. Mozart;Andante für eine mechanische Orgelwalze F-Dur, KV 616
03.06.2005;W.A. Mozart;Ave Verum
03.06.2005;W.A. Mozart;Laudate Dominum aus "Vesperae Solennes de Dominica" KV 321
03.06.2005;W.A. Mozart;Laudate Pueri und "Laudate Dominum" aus "Vesperae solennes de Confessore" KV 339
03.06.2005;W.A. Mozart;Te Deum laudamus, KV 141
22.01.2005;B. Bartók;Magyar Képek
22.01.2005;I. Gotkovsky;Violoncellissimo (Deutsche Uraufführung)
22.01.2005;I. Stravinsky;Ave Maria
22.01.2005;I. Stravinsky;Pater Noster
22.01.2005;Z. Kodály;Magyar Népdalok (Konzertrondo für Cello und Streicher)
22.01.2005;Z. Kodály;Psalmus Hungaricus
09.10.2004;J. Móry;Das war der Tag der weißen Chrysanthemen aus "Zwei Lieder" op.21 nach Texten von R.M. Rilke
09.10.2004;J. Móry;Im Schatten der Berge, Orchester-Suite, (1928)
09.10.2004;J. Móry;Operetten-Melodien (arr. von Zdenék Cón)
09.10.2004;J. Móry;Pod Kriváňom op.19
09.10.2004;J. Móry;Solang es einen Frühling gibt und "Kennst Du jenen lockenden Traum", Lieder aus der Operette "Fräulein Witwe"
09.10.2004;J. Móry;Symphonische Bilder (1950)
09.10.2004;J. Móry;Veilchen aus der Heimat, Lied aus der Operette "La Valliére"
19.06.2004;A. Borodin;Polowetzer Tänze
19.06.2004;F. Liszt;Les Preludes
19.06.2004;G. Bottesini;Konzert für Kontrabaß und Orchester, h-moll
19.06.2004;G.P. Telemann;Oratorium der Kapitänsmusik "Jauchze, Jubilier' und Singe"
19.06.2004;J.S. Bach;Kantate "Was mir behagt, is nur die Munt're Jagd"
10.06.2004;P.I. Tschaikowsky;Ouvertüre Romeo und Julia
07.02.2004;F. Poulenc;Ballettsuite "Les Biches"
07.02.2004;G. Verdi;Ballettmusik aus "Aida"
07.02.2004;K. Weill;Kleine Dreigroschenmusik
07.02.2004;R. Wagner;Vorspiel zu "Die Meistersinger von Nürnberg"
30.01.2004;B. Hebb;Sunny
30.01.2004;Collio;Gangsta's Paradise
30.01.2004;E. Fabriz;Boleras Sevillanas
30.01.2004;E. Toch;Vailse
30.01.2004;H. Distler;Wer sich di Musik erkiest
30.01.2004;J. Bock;Sunrise, sunset
30.01.2004;J. Brahms;Liebeslieder Walzer
30.01.2004;J.S. Bach;Bourrée
30.01.2004;P. Attaingnant;Tourdion
30.01.2004;R. Rodgers;Oh, what a beautiful morning
30.01.2004;R. Vaughan-Williams;I love my love
30.01.2004;T. Arbeau;Pavane
30.01.2004;Th. Morley;Now is the month of Maying
30.01.2004;Trad;Early one morning
30.01.2004;Trad;Jamaica, farewell
30.01.2004;Trad;Swing low, sweet chariot
05.07.2003;G. Holst;Erste Suite Es-Dur
05.07.2003;L.v. Beethoven;Symphonie Nr. 6 (Pastorale)
05.07.2003;R. Schumann;Ouvertüre "Hermann und Dorothea"
05.07.2003;R. Vaughan-Williams;Konzert für Basstuba und Orchester
28.05.2003;H. Berlioz;Messe solenelle
13.12.2002;A. Vivaldi;Doppelkonzert für 2 Trompeten und Orchester C-Dur
13.12.2002;F. Liszt;Weihnachtsoratorium (aus dem Oratorium Christus)
13.12.2002;H. Berlioz;Auszüge aus der Messe solenelle
29.06.2002;C. Franck;Symphonie d-moll
29.06.2002;F. Mendelssohn-Bartholdy;Die erste Walpurgisnacht
29.06.2002;G. Fauré;Jubiläumskonzert
01.02.2002;F. Liszt;Pater noster
01.02.2002;F. Liszt;Qui seminant in lacrimis
01.02.2002;F. Mendelssohn-Bartholdy;Hymnus Hör mein Bitten
01.02.2002;G. Fauré;Requiem op. 48
19.01.2002;A. Dvořák;Karneval-Ouvertüre
19.01.2002;C. Saint-Saëns;Karneval der Tiere
19.01.2002;D. Milhaud;Le Carnaval d'Aix
19.01.2002;D. Schostakowitsch;Ballett-Suite Nr.3
11.07.2001;C. Saint-Saëns;Symphonie Nr.1 Es-Dur op.2
11.07.2001;F. Mendelssohn-Bartholdy;Ouvertüre Die Hebriden op.26
11.07.2001;G. Bizet;L'Arlésienne-Suiten 1 & 2
30.06.2001;C. Orff;a-capella-Chöre aus Cartulli Carmina
30.06.2001;C. Orff;Berichte vom Fliegen
30.06.2001;C. Orff;Carmina Burana
10.02.2001;A. Dvořák;Tschechische Suite
10.02.2001;A. Glasunow;Ouverture solenelle
10.02.2001;D. Schostakowitsch;Jazz-Suite Nr. 2
10.02.2001;W.A. Mozart;Konzert für Violine und Orchester D-Dur KV 218
16.12.2000;A. Mendoza;Gloria a Dios
16.12.2000;F. Mendelssohn-Bartholdy;95. Psalm
16.12.2000;H. Berlioz;Adieu des Bergers aus L'Enfance du Christ
16.12.2000;W.A. Mozart;Te Deum
30.06.2000;G. Mahler;Sinfonie Nr.2 c-moll Auferstehung
13.06.2000;G. Mahler;Sinfonie Nr.2 c-moll Auferstehung
14.05.2000;C.P.E. Bach;Heilig ist Gott
14.05.2000;J.L. Bach;Das ist meine Freude
14.05.2000;J.M. Bach;Halt, was du hast
14.05.2000;J.M. Bach;Herr ich warte auf dein Heil
14.05.2000;J.S. Bach;Sicut locutus est aus dem Magnificat BWV 243
20.02.2000;A. Vivaldi;Gloria
18.12.1999;C. Saint-Saëns;Oratorio de Noël op.12
18.12.1999;G. Fauré;Cantique de Jean Racine op.11
18.12.1999;G.F. Händel;Auszüge aus der Feuerwerksmusik
18.12.1999;P.I. Tschaikowsky;Nußknacker-Suite op.71a
18.12.1999;R. Vaughan-Williams;Fantasy on Christmas Carols
25.06.1999;G. Bizet;Te Deum
25.06.1999;G. Fauré;Cantique de Jean Racine op.11
25.06.1999;J. Mouret;Fanfare
25.06.1999;R. Schumann;Sinfonie Nr. 3 Es-Dur op.97 Rheinische
30.01.1999;G. Bizet;Carmen-Suiten 1 & 2
30.01.1999;J. Arriaga;Symphonie en Ré majeur
30.01.1999;J. Rodrigo;Fantasia para un Gentilhombre
30.01.1999;R. Strauss;Serenade für Bläser
26.06.1998;A. Bruckner;Ouverture g-moll
26.06.1998;A. Vivaldi;Gloria
26.06.1998;F. Poulenc;Gloria
09.03.1998;E. Mirzoyan;Symphonie für Streicher und Pauken
09.03.1998;J. Gotokovsky;Symphonie pour Cordes et Timbales
09.03.1998;J.S. Bach;Konzert für Klavier und Orchester d-moll BWV 1052
31.01.1998;E. Grieg;Konzert für Klavier und Orchester a-moll op.16
31.01.1998;F. Berwald;Sinfonie Nr.4 C-Dur Symphonie Singulière
31.01.1998;J. Sibelius;Karelia-Suite op.11
13.12.1997;B. Britten;Fantasy on christmas carols
13.12.1997;H. Berlioz;Adieu des Bergers aus L'Enfance du Christ
13.12.1997;J.S. Bach;Kantate "Wachet auf, ruft uns die Stimme" BWV 140
13.12.1997;Z. Kodály;Adventi Enek
05.07.1997;F. Schubert;Sinfonie Nr. 9 C-dur Große C-Dur-Sinfonie
05.07.1997;H. Andriessen;Due Madrigali
05.07.1997;J. Haydn;Sätze aus Die Jahreszeiten
05.07.1997;L.v. Beethoven;Chorfantasie c-moll op.80
05.02.1997;A. Dvořák;Messe d-moll op. 86
05.02.1997;I. Strawinsky;Ave Maria
05.02.1997;I. Strawinsky;Pater noster
27.01.1997;D. Schostakowitsch;Kammersinfonie op. 110
27.01.1997;E. Mirzoyan;Epitaph
27.01.1997;F. Schubert;Der Tod und das Mädchen (Fassung für Streichorchester)
27.01.1997;J. Brahms;Gastkonzert des armenischen Orchesters Serenade
25.01.1997;F. Mendelssohn-Bartholdy;Serenata Notturna Lodronische Nachtmusik
25.01.1997;J. Brahms;Sinfonie Nr. 2 D-Dur op. 73
25.01.1997;J. Brahms;Ungarischer Tanz Nr.5
25.01.1997;W.A. Mozart;Konzert für Violine und Orchester Nr.5 A-Dur KV 219
12.07.1996;J. Haydn;Auszüge aus Die Jahreszeiten
12.07.1996;L.v. Beethoven;Sinfonie Nr.1 C-Dur op.21
12.07.1996;W.A. Mozart;Auszüge aus Die Zauberflöte
12.07.1996;W.A. Mozart;Ouvertüre zu La Clemenza di Tito
10.02.1996;A. Dvořák;Chorkonzert „Ein heiteres Programm“
10.02.1996;E. Rautavaara;Ludus Verbalis
10.02.1996;F. Schlöggl;Die launige Forelle
10.02.1996;N. Zangius;Der Kölner Markt
29.01.1996;A. Dvořák;Serenade für Bläser
29.01.1996;A. Dvořák;Sinfonie Nr. 8 G-Dur op. 88 Pastorale
29.01.1996;A. Dvořák;Zwei Walzer
29.01.1996;J. Stamitz;Mannheimer Sinfonie
09.10.1995;F. Mendelssohn-Bartholdy;Sinfonie Nr. 2 B-Dur op.52 Lobgesang
09.10.1995;J. Brahms;Akademische Festouvertüre op.80
08.05.1995;B. Britten;A Russian Funeral
08.05.1995;F. Liszt;Via crucis
08.05.1995;L.v. Beethoven;Bühnenmusik Egmont
18.12.1994;B. Britten;Saint Nicolas - a cantata
18.12.1994;Ch. Gounod;Petite Symphonie
18.12.1994;G.F. Händel;Auszüge aus der Feuerwerksmusik
30.01.1994;F. Lehár;Gold und Silber
30.01.1994;F. Schubert;Ballettmusik aus Rosamunde
30.01.1994;G. Gartoldi;Six Baletti
30.01.1994;J. Brahms;Liebeslieder-Walzer
30.01.1994;J. Strauss;Frühlingsstimmen-Walzer
30.01.1994;W.A. Mozart;Ouvertüre aus der „Zauberflöte“
01.07.1993;B. Britten;Simple Symphony
01.07.1993;G. Gershwin;Rhapsody in blue
01.07.1993;V. Nees;Bonum est confitare dominum
28.06.1993;L. Bernstein;Chichester Psalms
22.04.1993;F. Schubert;Sinfonie Nr. 5 B-Dur
22.04.1993;J. Haydn;Konzert für Oboe und Orchester
30.01.1993;F. Mendelssohn-Bartholdy;Streichoktett
30.01.1993;F. Schubert;Sinfonie Nr. 8 h-moll Unvollendete
30.01.1993;W.A. Mozart;Ouvertüre aus der „Zauberflöte“
15.11.1992;J. Brahms;Ein deutsches Requiem op.45
21.01.1992;Z. Kodály;Bläsermusik
21.01.1992;Z. Kodály;Missa brevis
19.11.1990;J. Haydn;Die Schöpfung
15.11.1990;J. Haydn;Die Schöpfung
01.02.1990;J. Brahms;Choralvorspiele op.122
01.02.1990;J. Brahms;Drei ungarische Tänze
01.02.1990;J. Brahms;Schicksalslied op.54
01.02.1990;J. Brahms;Zigeunerlieder op.103
29.10.1989;C. Orff;Carmina Burana
29.10.1989;F. Schubert;Sinfonie Nr. 5 B-Dur
20.11.1988;J. Haydn;Missa in Angustiis Nelsonmesse
20.11.1988;J. Haydn;Ouvertüre zu L'isola disabata
29.11.1987;J. Brahms;Fünf Choralvorspiele op.122
29.11.1987;J.S. Bach;Kantate "Herr, gehe nicht ins Gericht" BWV 105
29.11.1987;J.S. Bach;Kantate "Wachet, betet" BWV 70
23.11.1986;F. Schubert;Messe Es-Dur
23.11.1986;W.A. Mozart;Ouvertüre zu Titus
25.11.1985;J.S. Bach;Kantate "Christen, ätzet diesen Tag" BWV 63
25.11.1985;J.S. Bach;Kantate "Singet dem Herrn ein neues Lied" BWV 190
25.11.1985;J.S. Bach;Orchestersuite C-Dur BWV 1066
